ItemExplain
0.9190838969059337	0.9259201384392358	0.931116134638281	0.9352987794417844	0.9394849569597301	0.9441346635220564	0.9478935332083581	0.9517874913218548	0.9549768490220155	0.9580587890655342	0.9626009512437197	0.9663783609843479	0.9711423680419036	0.9739893522667261	0.9768013995942473	0.9796612954505647	0.9825994825835277	0.9854451874828494	0.9883317253393599	0.9914728830750148	0.9946306093480193	0.9973376072357577	1.0013971536678616	1.0041489569663689	1.0073634970617844	1.0106615125254612	1.013256406312337	1.015566611393688	1.0184098640123098	1.0211746605833818	1.0236610524333944	1.0267420953954998	1.029033937836096	1.0323759978457254	1.0353528362671331	1.0389750380465153	1.0417567549889664	1.0442316862368066	1.0484308308161026	1.0508290391874062	1.0528847573105895	1.055562789931058	1.0581989663572897	1.0597688401415486	1.061638510840769	1.0630669473226184	1.0651407627911007	1.0683715882005027	1.0702620765364692	1.072454580309078	1.073680314680398
0	305	613	938	1261	1553	1840	2016	2282	2546	2715	2938	3105	3358	3593	3833	4074	4308	4537	4748	4958	5174	5301	5506	5667	5852	6054	6253	6423	6596	6792	6961	7158	7273	7458	7566	7711	7870	7970	8132	8296	8442	8582	8746	8893	9053	9189	9290	9411	9531	9677
EdgeExplain
0.9190838969059337	0.9233691445397239	0.9267701969422841	0.9303836240031793	0.9324941837205935	0.9355323503682368	0.9379230256198823	0.942298222128757	0.9456272058177134	0.947251202946672	0.9496474543071708	0.9530506205842236	0.9551300222448883	0.9572800592540154	0.958917160594888	0.960932245145481	0.962930019895027	0.9643537088711717	0.9658895997632186	0.9674948171596734	0.9694896775455748	0.9716918480140141	0.9724428284080974	0.9742301962752821	0.97573413115132	0.9773459781099744	0.9787872496116399	0.9809180500353454	0.982225221725011	0.9836671798229162	0.9854941042515767	0.9873113880259892	0.9885899478827697	0.9900971771220128	0.9912283860591662	0.9930693290824855	0.9941899050731805	0.9957829057781633	0.9969640337123047	0.9980934290695159	0.9993560158951683	1.001540698742647	1.0028281133368635	1.003855867994167	1.0044843215803003	1.0056928009958526	1.0068745034631619	1.0080584376478767	1.0089423525157941	1.0099069107471568	1.0105250532123307	1.011358180212276	1.0127429726404389	1.0135793900498056	1.0142482839721922	1.015101002783954	1.01615503627323	1.0167162515169221	1.017944251060349	1.0190850793806583	1.0198382971787445	1.0206966768175985	1.0214814313100702	1.0218971972990905	1.0233481400208864	1.0244260816183277	1.0249597865059314	1.025953110284076	1.0267690395210523	1.0280348098029781	1.0295078936229187	1.0302727553231614	1.0309498591171768	1.0316776667291285	1.0323917268724974	1.0329386210108185	1.033716999502112	1.034488815160351	1.035204692125178	1.0360675120105476	1.0363180793591338	1.0373481925518329	1.038146056100752	1.0386063302261799	1.0395074219792777	1.0399771884386726	1.040956834135268	1.0416203806229578	1.0421787503518671	1.0429237651951568	1.0436381207106586	1.0443948145882311	1.0453535815642199	1.0465648128088694	1.0470862278813107	1.0476628770750405	1.0482962180291429	1.0488235873505147	1.0497694402136928	1.0501978874578524	1.0508195855415952
0	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	1020	1040	1060	1080	1100	1120	1140	1160	1180	1200	1220	1240	1260	1280	1300	1320	1340	1360	1380	1400	1420	1440	1460	1480	1500	1520	1540	1560	1580	1600	1620	1640	1660	1680	1700	1720	1740	1760	1780	1800	1820	1840	1860	1880	1900	1920	1940	1960	1980	2000
UserExplain
0.919083896905934	0.9200796418604195	0.9216733232406188	0.9230871575842323	0.9242066263617019	0.9254552533540105	0.9266457339012957	0.9280238750424864	0.92902156099757	0.9301514460845367	0.9312995567227066	0.9324978506770824	0.9337621679867936	0.934973007028549	0.9360158594335218	0.9370792776921885	0.9382332947916929	0.9393913292789046	0.9405385662107812	0.9413993568292449	0.9424444201349625	0.9434678244548657	0.9444641313992048	0.9453905259734509	0.9463279301988498	0.9473422420740331	0.9481635828977413	0.9491711866220063	0.9499461974531896	0.9510381144102907	0.9519242433240468	0.9528126483370107	0.9537761176732243	0.9546955333100418	0.9553807858524982	0.9560949559036592	0.9568879844365166	0.9577482585829532	0.9586166249367237	0.9594793120438957	0.9602492668079483	0.9608726248337203	0.9617171836464411	0.9622388978533084	0.963093732993349	0.9639899428222949	0.9645121445985986	0.9653813994475812	0.9660818152369214	0.9668063002476476	0.967350914427099	0.9682529312610612	0.9689726060340312	0.9698487554745308	0.9705035866907121	0.9712762588004233	0.9720853656446224	0.9728363273080992	0.9736210246596675	0.9743123350959807	0.9749649233823053	0.9758244728933947	0.9765761693018622	0.9772101857363569	0.9779118057598427	0.9784965277872162	0.9793181754732214	0.979644869381731	0.9803444963125971	0.9809279723910356	0.9817189854647248	0.9822789029940628	0.9829536196761615	0.9839001318842346	0.9845228292846272	0.9852743636808049	0.9860719443306853	0.9867485815723671	0.987476328508557	0.9882360076703183	0.9888081016894509	0.9896363962070563	0.9903979711866624	0.9905774817841917	0.9913169251909483	0.991817979061125	0.992308014664622	0.9930083050719621	0.9935404897136147	0.994076565286991	0.9947744406664234	0.9953826730089229	0.996011625243641	0.9966338257807408	0.9971346567279866	0.9977113755362459	0.9983072820130846	0.9988402008223718	0.9994222859526419	0.9999646930731685	1.0004838106870615	1.001073000627097	1.0017014154887975	1.0021197694511	1.002510542263385	1.0030080194777333	1.00342990874087	1.003958229546605	1.0045454449705087	1.0049610141232155	1.0055323045968885	1.0060875135668426	1.006559066826698	1.0070663977833454	1.007568451314257	1.0080619119076442	1.008487816512006	1.008915429831834	1.0095105774291893	1.0101855474867552	1.0107024019872506
0	136	273	389	499	605	712	808	916	1021	1124	1224	1325	1424	1524	1617	1712	1798	1884	1967	2054	2141	2228	2310	2397	2482	2569	2654	2739	2818	2904	2986	3063	3142	3216	3295	3371	3447	3521	3597	3669	3742	3810	3882	3953	4027	4091	4160	4232	4304	4379	4449	4521	4591	4662	4727	4787	4854	4920	4984	5052	5115	5182	5247	5315	5386	5450	5514	5577	5633	5694	5759	5821	5886	5951	6013	6075	6134	6197	6260	6323	6386	6443	6499	6559	6621	6672	6729	6791	6852	6908	6965	7026	7075	7127	7186	7240	7296	7353	7411	7467	7523	7576	7635	7690	7747	7804	7859	7903	7955	8009	8063	8106	8158	8209	8258	8306	8350	8396	8439	8488
