ItemExplain
0.7031004550433964	0.7201520040400639	0.7344651630310463	0.7475071255466352	0.7610598100102605	0.7753995205173998	0.7885625958432301	0.8002291561273838	0.8126619782773982	0.8248450492898817	0.8389344750026914	0.8527328679861168	0.86791630872164	0.8806660885944656	0.8932982416763636	0.9066022071980622	0.9205470484595203	0.9345805796612118	0.9488581560851089	0.9637632994222467	0.979241248863834	0.994182082966032	1.010979744728638	1.026269830518172	1.042147283042948	1.0594451826673401	1.0758447582104402	1.0913381442864978	1.1079551424591205	1.125340029613695	1.14294609835899	1.1619910254869352	1.1802187216258486	1.1987141936007255	1.2193681766394253
0	305	613	938	1261	1553	1840	2016	2282	2546	2715	2938	3105	3358	3593	3833	4074	4308	4537	4748	4958	5174	5301	5506	5667	5852	6054	6253	6423	6596	6792	6961	7158	7273	7458
EdgeExplain
0.7031004550433964	0.7104818982196107	0.7166621151674453	0.7236900316764854	0.7276398285174176	0.7335757011903573	0.7384581462442583	0.7468828529101095	0.7541817136215614	0.757631706024266	0.7627913341938058	0.7697400247571334	0.7741726271850375	0.7790308246283248	0.7830929653790083	0.7880560912893482	0.7932977437479096	0.797081694607506	0.8009149052399912	0.8051012836777216	0.81008989548283	0.8156594940449702	0.8177426898471513	0.8223886198657784	0.8262705396783833	0.8308242413234062	0.8350893449530363	0.8407943450944735	0.844281647408032	0.8488409842678898	0.8539845121694105	0.8594211535451972	0.8639501176137517	0.8682922449966375	0.8717815608983187	0.8771235844638458	0.8808515112847309	0.8855200410212812	0.8894099224378189	0.8925755489259604	0.897086595513787	0.9034747084414888	0.9086321088252867	0.9120741434053722	0.9150267257992962	0.9195637754961206	0.9247629067098518	0.9291795079036533	0.9327765523284727	0.9372024355985139	0.9400109620769328	0.9436989507428808	0.949021717012264	0.9523989891375372	0.9551939073568936	0.9587751784358838	0.9629767939602261	0.9661926939841398	0.9707350405972143	0.9750644782544216	0.9778138982607282	0.9812877000389832	0.9850777730550861	0.9873247916579353	0.9927458465764243	0.9970914094980877	0.9997561526337361	1.0043763601984346	1.0083646039965108	1.0138329836886997	1.0198694444510015	1.023127312723147	1.0268932013996492	1.029858483826575	1.0340384829005276	1.036979199829125	1.0413531711395823	1.0453941834627012	1.0500513417163895	1.0548540324399487	1.0571503130569122	1.0621558606985162	1.0668233724611431	1.069871615103134	1.0755471351269423	1.0785780227416446	1.0844371998101512	1.087910349003917	1.091538120279565	1.095290583945752	1.0998657131135836	1.103697434876988	1.1089173364344826	1.1151549239437715	1.1192094482541726	1.122606755086768	1.1267313680643627	1.1303072901879792	1.1356421298095645	1.1387558800064292	1.1429656096325311
0	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	1020	1040	1060	1080	1100	1120	1140	1160	1180	1200	1220	1240	1260	1280	1300	1320	1340	1360	1380	1400	1420	1440	1460	1480	1500	1520	1540	1560	1580	1600	1620	1640	1660	1680	1700	1720	1740	1760	1780	1800	1820	1840	1860	1880	1900	1920	1940	1960	1980	2000
UserExplain
0.7031004550433966	0.7127172959649203	0.7221431116713191	0.7302033270065083	0.7380416901863489	0.7458115819293112	0.7536233337208147	0.7611445086412618	0.7688186045424937	0.7763291660395669	0.7839305565023444	0.7914345767422755	0.7988546985658788	0.8064271154892237	0.8140098612041844	0.8211603300019521	0.8283918230853172	0.835433676192308	0.842388785299853	0.8493306822041694	0.8562862017756877	0.8632595048232983	0.870181508898436	0.8772302488404334	0.8843495489092614	0.8912924193521511	0.8985041104340399	0.9054607458739277	0.9126308825888142	0.9194543596828411	0.9268390062081125	0.9338982148263434	0.9406488939843904	0.9473109574574406	0.954049944930427	0.9611324360359026	0.9678157949156921	0.9744749337890017	0.9810601548060577	0.9878022781112277	0.9947458778593056	1.002013238586953	1.0085952620893048	1.015932846953401	1.0224342688040977	1.0291779285518128	1.036447245885911	1.0430283424568927	1.0501257521920009	1.0569386011459747	1.0644467073376198
0	136	273	389	499	605	712	808	916	1021	1124	1224	1325	1424	1524	1617	1712	1798	1884	1967	2054	2141	2228	2310	2397	2482	2569	2654	2739	2818	2904	2986	3063	3142	3216	3295	3371	3447	3521	3597	3669	3742	3810	3882	3953	4027	4091	4160	4232	4304	4379
