Title	Beta
-	0.8048170919131648
Die Hard 2 (1990)	0.8186320925913405
Con Air (1997)	0.8331896922241973
Rumble in the Bronx (1995)	0.8484855812347462
Strange Days (1995)	0.864854836876669
Terminator 2: Judgment Day (1991)	0.8822492729071796
Die Hard (1988)	0.9008419701152083
Twister (1996)	0.9208748114331715
Mission: Impossible (1996)	0.9425809330886383
Heat (1995)	0.9661536020942643
Rock, The (1996)	0.9918232816551066
Terminator, The (1984)	1.0198468052872793
